location,New Delhi,New Delhi
lat,28.59986,28.59986
lon,77.22579,77.22579
asl,216.200,216.200
variable,Temperature,Mean Sea Level Pressure
unit,°C,hPa
level,2 m elevation corrected,MSL
resolution,hourly,hourly
aggregation,None,None
timestamp,New Delhi Temperature [2 m elevation corrected],New Delhi Mean Sea Level Pressure [MSL]
20200906T0000,30.6673,1003.2
20200906T0100,30.1873,1003.5
20200906T0200,29.737299,1003.5
20200906T0300,29.3873,1003.3
20200906T0400,29.1373,1003.4
20200906T0500,28.8873,1003.6
20200906T0600,28.6673,1003.9
20200906T0700,29.8273,1004.7
20200906T0800,31.3873,1005.5
20200906T0900,32.297302,1005.6
20200906T1000,32.6673,1005.2
20200906T1100,32.727303,1004.8
20200906T1200,32.7873,1004.3
20200906T1300,33.657303,1004.0
20200906T1400,33.047302,1003.3
20200906T1500,32.837303,1002.7
20200906T1600,32.5973,1002.5
20200906T1700,34.207302,1002.2
20200906T1800,33.6673,1002.5
20200906T1900,33.157303,1002.9
20200906T2000,32.5773,1003.6
20200906T2100,32.067303,1004.2
20200906T2200,31.5473,1004.0
20200906T2300,31.0473,1003.9
20200907T0000,30.4673,1004.0
20200907T0100,29.8473,1004.4
20200907T0200,29.3373,1004.3
20200907T0300,29.0873,1004.1
20200907T0400,28.6173,1004.2
20200907T0500,28.2573,1004.5
20200907T0600,28.1373,1004.9
20200907T0700,29.5173,1005.4
20200907T0800,31.3373,1006.0
20200907T0900,32.997303,1006.4
20200907T1000,32.767303,1006.4
20200907T1100,33.117302,1005.9
20200907T1200,34.2373,1005.2
20200907T1300,34.887302,1004.5
20200907T1400,35.3773,1003.4
20200907T1500,35.6673,1002.4
20200907T1600,35.6673,1002.3
20200907T1700,32.6873,1003.1
20200907T1800,32.137302,1003.3
20200907T1900,31.737299,1003.5
20200907T2000,31.3773,1004.0
20200907T2100,31.0573,1004.6
20200907T2200,30.8373,1004.3
20200907T2300,30.5973,1004.1
20200908T0000,30.3673,1004.1
20200908T0100,30.1173,1004.3
20200908T0200,29.7273,1004.1
20200908T0300,29.2673,1003.9
20200908T0400,28.8773,1004.1
20200908T0500,28.5173,1004.5
20200908T0600,29.1073,1004.6
20200908T0700,30.1373,1005.2
20200908T0800,31.5673,1006.0
20200908T0900,32.7173,1006.5
20200908T1000,33.587303,1006.3
20200908T1100,33.337303,1005.9
20200908T1200,33.8273,1005.4
20200908T1300,34.267303,1004.9
20200908T1400,34.5973,1003.9
20200908T1500,35.2873,1002.9
20200908T1600,35.337303,1002.7
20200908T1700,35.067303,1002.9
20200908T1800,34.2573,1003.0
20200908T1900,33.3273,1003.4
20200908T2000,32.587303,1004.1
20200908T2100,32.297302,1004.9
20200908T2200,31.8873,1004.8
20200908T2300,31.5973,1004.9
20200909T0000,31.2673,1005.0
20200909T0100,30.9173,1005.3
20200909T0200,30.6073,1005.2
20200909T0300,30.2673,1004.9
20200909T0400,30.0073,1005.3
20200909T0500,29.7073,1005.6
20200909T0600,29.6373,1005.7
20200909T0700,30.3273,1006.0
20200909T0800,31.6173,1006.6
20200909T0900,32.7773,1007.1
20200909T1000,34.117302,1006.4
20200909T1100,35.3773,1005.5
20200909T1200,36.497303,1004.8
20200909T1300,37.267303,1004.1
20200909T1400,37.747303,1003.1
20200909T1500,37.8773,1002.1
20200909T1600,37.7573,1001.7
20200909T1700,37.3073,1001.7
20200909T1800,35.9373,1001.7
20200909T1900,34.857304,1002.1
20200909T2000,33.6973,1002.8
20200909T2100,32.867302,1003.3
20200909T2200,32.407303,1003.1
20200909T2300,32.177303,1003.1
20200910T0000,31.7973,1003.1
20200910T0100,31.407299,1003.1
20200910T0200,31.0073,1002.5
20200910T0300,30.1873,1002.2
20200910T0400,29.487299,1002.4
20200910T0500,28.9373,1002.7
20200910T0600,28.9773,1002.7
20200910T0700,30.2073,1003.1
20200910T0800,31.8773,1003.6
20200910T0900,33.207302,1004.2
20200910T1000,34.497303,1003.7
20200910T1100,35.7373,1002.8
20200910T1200,36.767303,1001.6
20200910T1300,37.607304,1000.8
20200910T1400,38.0573,999.6
20200910T1500,38.2573,998.6
20200910T1600,38.1873,998.7
20200910T1700,37.797302,999.0
20200910T1800,36.3973,999.3
20200910T1900,35.267303,999.8
20200910T2000,34.0773,1000.6
20200910T2100,33.247303,1001.6
20200910T2200,32.8773,1001.5
20200910T2300,32.547302,1001.3
20200911T0000,31.8273,1001.3
20200911T0100,30.7873,1001.4
20200911T0200,29.8573,1001.4
20200911T0300,29.1873,1001.3
20200911T0400,28.8473,1001.7
20200911T0500,28.6373,1002.3
20200911T0600,28.8273,1002.6
20200911T0700,29.9973,1003.2
20200911T0800,31.7773,1003.7
20200911T0900,33.1273,1004.1
20200911T1000,34.587303,1003.9
20200911T1100,35.9173,1003.3
20200911T1200,37.017303,1002.3
20200911T1300,37.8073,1001.4
20200911T1400,38.2573,1000.7
20200911T1500,38.387302,1000.1
20200911T1600,38.297302,1000.1
20200911T1700,37.8773,1000.4
20200911T1800,36.5273,1000.9
20200911T1900,35.227303,1001.6
20200911T2000,33.767303,1002.6
20200911T2100,32.427303,1003.7
20200911T2200,31.5973,1004.0
20200911T2300,30.907299,1004.4
20200912T0000,30.3673,1004.8
20200912T0100,29.8773,1004.9
20200912T0200,29.3773,1004.6
20200912T0300,28.9373,1004.3
20200912T0400,28.5173,1004.7
20200912T0500,28.0273,1005.3
20200912T0600,28.0473,1005.6
20200912T0700,29.3173,1006.2
20200912T0800,31.0773,1006.8
20200912T0900,32.5773,1007.3
20200912T1000,34.0573,1007.2
20200912T1100,35.317303,1006.7
20200912T1200,36.1973,1005.6
20200912T1300,37.0373,1004.9
20200912T1400,37.517303,1003.6
20200912T1500,37.6973,1002.6
20200912T1600,37.5973,1002.4
20200912T1700,37.177303,1002.7
20200912T1800,36.017303,1003.1
20200912T1900,35.0273,1003.6
20200912T2000,33.9373,1004.3
20200912T2100,32.817303,1005.3
20200912T2200,32.207302,1005.4
20200912T2300,31.6873,1005.6
20200913T0000,31.0773,1005.6
20200913T0100,30.4273,1005.7
20200913T0200,29.7673,1005.3
20200913T0300,29.237299,1004.9
20200913T0400,28.737299,1005.2
20200913T0500,28.2173,1005.7
20200913T0600,28.3473,1005.9
20200913T0700,29.737299,1006.2
20200913T0800,31.3473,1006.4
20200913T0900,32.8273,1006.6
20200913T1000,34.137302,1006.7
20200913T1100,35.137302,1006.3
20200913T1200,35.927303,1005.3
20200913T1300,36.657303,1004.6
20200913T1400,37.047302,1003.6
20200913T1500,37.1873,1002.5
